                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.4039,                 1.8337,                 1.0108,                0.70054,                0.17769,                0.17452,                0.08357,                 1.2714,                 1.5291,                 1.0898,               0.007795,               0.007795,               0.007795
                     51,                  1.396,                  1.799,                 1.0492,                0.69695,                0.18182,                0.17426,                 0.0812,                 1.3287,                 1.5503,                 1.1102,                0.00775,                0.00775,                0.00775
                     52,                 1.4117,                 1.8413,                  1.066,                0.69167,                0.21074,                0.17724,                0.08616,                 1.2988,                 1.4538,                 1.0927,               0.007705,               0.007705,               0.007705
                     53,                 1.4663,                 1.8042,                 1.1088,                 0.7151,                0.19421,                0.19572,                0.09913,                 1.2777,                 1.5015,                 1.0897,                0.00766,                0.00766,                0.00766
                     54,                 1.3878,                 1.7762,                 1.0283,                0.69023,                0.17763,                0.16837,                0.08023,                 1.2912,                 1.5369,                 1.0966,               0.007615,               0.007615,               0.007615
                     55,                 1.4167,                 1.7148,                 1.0473,                0.70037,                0.21074,                0.18077,                0.08647,                 1.2248,                 1.5034,                 1.0703,                0.00757,                0.00757,                0.00757
                     56,                 1.2766,                 1.7011,                0.97979,                0.69956,                0.16942,                0.17511,                0.08844,                 1.2573,                 1.4871,                 1.0731,               0.007525,               0.007525,               0.007525
                     57,                 1.3782,                 1.6883,                 1.0361,                0.71379,                0.17285,                0.20067,                0.10043,                 1.2664,                  1.446,                 1.0757,                0.00748,                0.00748,                0.00748
                     58,                 1.3877,                 1.7448,                 1.0258,                0.69334,                0.22314,                0.22298,                0.11848,                 1.2386,                 1.4074,                 1.0626,               0.007435,               0.007435,               0.007435
                     59,                 1.4423,                 1.7847,                 1.0438,                0.69471,                0.15702,                0.20219,                0.10086,                 1.2458,                 1.4774,                 1.0739,                0.00739,                0.00739,                0.00739
                     60,                 1.4289,                 1.7471,                 1.0527,                0.72047,                 0.2438,                0.21265,                0.11005,                 1.2632,                 1.4241,                 1.0739,               0.007345,               0.007345,               0.007345
                     61,                 1.4439,                 1.7597,                 1.0661,                0.69002,                 0.2314,                0.19512,                0.10193,                 1.2499,                 1.4697,                 1.0687,                 0.0073,                 0.0073,                 0.0073
                     62,                 1.3048,                 1.6166,                0.98722,                0.73769,                0.22314,                0.23667,                0.11311,                 1.2391,                 1.3946,                 1.0501,               0.007255,               0.007255,               0.007255
                     63,                   1.35,                 1.6951,                 1.0304,                0.71753,                0.20248,                0.21731,                 0.1099,                 1.2026,                 1.4169,                 1.0404,                0.00721,                0.00721,                0.00721
                     64,                 1.3526,                 1.5931,                0.99156,                 0.7069,                0.26033,                0.22297,                0.11054,                 1.2201,                 1.3109,                 1.0454,               0.007165,               0.007165,               0.007165
                     65,                 1.3511,                 1.5615,                 1.0035,                0.70655,                0.23554,                0.22358,                0.11242,                 1.2113,                 1.2998,                 1.0468,                0.00712,                0.00712,                0.00712
                     66,                 1.3956,                 1.6664,                 1.0478,                0.72667,                0.26033,                0.24361,                0.11523,                  1.204,                 1.2747,                 1.0431,               0.007075,               0.007075,               0.007075
                     67,                 1.4461,                 1.6942,                 1.0839,                0.73153,                 0.2562,                 0.2305,                 0.1091,                 1.2339,                 1.3176,                 1.0615,                0.00703,                0.00703,                0.00703
                     68,                 1.4422,                 1.6979,                 1.0591,                0.71987,                0.23967,                0.22967,                0.10948,                 1.2259,                 1.2719,                 1.0405,               0.006985,               0.006985,               0.006985
                     69,                  1.451,                 1.7369,                 1.0974,                0.72623,                0.26033,                0.23838,                0.11417,                 1.1985,                 1.2749,                 1.0337,                0.00694,                0.00694,                0.00694
                     70,                 1.3248,                 1.5925,                 0.9729,                0.72201,                0.28512,                0.25016,                 0.1258,                 1.2086,                 1.2158,                 1.0363,               0.006895,               0.006895,               0.006895
                     71,                 1.4012,                 1.6135,                 1.0863,                0.73171,                0.30165,                0.25536,                0.13067,                 1.2071,                 1.1859,                 1.0315,                0.00685,                0.00685,                0.00685
                     72,                 1.3869,                 1.6507,                 1.0715,                0.77291,                0.24831,                0.26085,                  0.134,                 1.1993,                 1.2271,                 1.0324,               0.006805,               0.006805,               0.006805
                     73,                 1.5046,                 1.6647,                 1.1243,                 0.7873,                0.24793,                0.27011,                0.13206,                 1.2047,                 1.2016,                 1.0333,                0.00676,                0.00676,                0.00676
                     74,                 1.2876,                 1.4596,                0.97681,                0.79187,                0.26658,                0.26364,                0.12903,                 1.2003,                 1.1896,                 1.0247,               0.006715,               0.006715,               0.006715
                     75,                 1.3245,                 1.5999,                  1.005,                0.74585,                 0.2686,                 0.2484,                0.12906,                 1.1912,                 1.2226,                 1.0225,                0.00667,                0.00667,                0.00667
                     76,                 1.3285,                 1.6145,                 1.0346,                0.77161,                0.26033,                0.28247,                 0.1408,                 1.2107,                 1.2148,                  1.034,               0.006625,               0.006625,               0.006625
                     77,                 1.4134,                 1.6523,                   1.05,                0.78286,                0.26916,                0.27881,                0.14403,                 1.1774,                 1.2245,                 1.0164,                0.00658,                0.00658,                0.00658
                     78,                 1.4833,                 1.7044,                 1.1366,                 0.7587,                0.28796,                0.28388,                 0.1446,                 1.1718,                 1.1921,                  1.017,               0.006535,               0.006535,               0.006535
                     79,                 1.3752,                 1.5221,                0.99986,                0.78165,                0.28099,                0.28424,                0.14295,                 1.1838,                 1.1852,                 1.0226,                0.00649,                0.00649,                0.00649
                     80,                  1.305,                 1.5279,                 1.0066,                0.79458,                0.26073,                0.27207,                0.13797,                 1.1784,                 1.2026,                 1.0229,               0.006445,               0.006445,               0.006445
                     81,                 1.3916,                 1.5999,                 1.0539,                0.78943,                0.27686,                0.28074,                0.14384,                 1.1678,                 1.2099,                 1.0128,                 0.0064,                 0.0064,                 0.0064
                     82,                 1.2615,                 1.4419,                0.95328,                0.78751,                0.27686,                0.28207,                0.14027,                 1.1661,                 1.1883,                 1.0153,               0.006355,               0.006355,               0.006355
                     83,                 1.3136,                 1.5118,                0.99588,                0.76443,                0.27832,                0.28478,                0.13835,                  1.167,                 1.2038,                 1.0131,                0.00631,                0.00631,                0.00631
                     84,                  1.333,                 1.5051,                0.98509,                0.78799,                0.28512,                0.29413,                0.13996,                 1.1617,                 1.1946,                 1.0051,               0.006265,               0.006265,               0.006265
                     85,                 1.3277,                 1.5556,                 1.0135,                0.80212,                0.28512,                0.29655,                0.14718,                 1.1795,                 1.1819,                 1.0159,                0.00622,                0.00622,                0.00622
                     86,                 1.3317,                 1.5196,                 1.0057,                0.79157,                0.28099,                0.29272,                0.15229,                 1.1714,                 1.1662,                 1.0075,               0.006175,               0.006175,               0.006175
                     87,                 1.3239,                 1.5283,                 1.0476,                0.79523,                0.31818,                0.30195,                 0.1531,                 1.1645,                 1.1593,                 1.0072,                0.00613,                0.00613,                0.00613
                     88,                 1.3591,                 1.5298,                 1.0445,                0.79742,                0.29752,                0.30353,                0.15806,                 1.1639,                 1.1408,                 1.0046,               0.006085,               0.006085,               0.006085
