                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 2.5032,                 1.3652,                0.83143,                0.83329,                   0.21,                0.24413,                0.11588,                 2.1213,                 1.7861,                0.85334,             0.00064331,             0.00064331,             0.00064331
                    102,                 2.8189,                 1.4601,                0.80293,                0.90387,                   0.22,                0.27887,                 0.1319,                  2.081,                 1.6711,                0.84924,             0.00064261,             0.00064261,             0.00064261
                    103,                 2.6739,                 1.3901,                 0.8271,                0.79807,                   0.22,                0.25292,                0.11529,                 2.1422,                 1.8365,                0.85234,              0.0006419,              0.0006419,              0.0006419
                    104,                 2.5148,                 1.3535,                0.82794,                0.71617,                   0.22,                0.23986,                0.12238,                  2.047,                  1.835,                0.84944,             0.00064119,             0.00064119,             0.00064119
                    105,                 2.6462,                 1.3696,                0.80715,                0.77871,                   0.29,                0.26704,                0.12787,                 2.1029,                  1.738,                0.85658,             0.00064049,             0.00064049,             0.00064049
                    106,                 2.3877,                  1.368,                 0.8331,                0.77445,                0.29205,                0.28179,                0.12726,                 2.1205,                 1.6539,                0.85469,             0.00063978,             0.00063978,             0.00063978
                    107,                 2.3841,                 1.3965,                0.82572,                0.84546,                   0.26,                0.29933,                0.13113,                 2.0832,                 1.6764,                0.84533,             0.00063907,             0.00063907,             0.00063907
                    108,                 2.3751,                 1.4176,                0.81191,                0.89105,                   0.29,                0.32932,                0.15773,                 1.9446,                 1.3138,                0.83612,             0.00063837,             0.00063837,             0.00063837
                    109,                 2.4271,                 1.3611,                0.80838,                0.86036,                   0.29,                0.32715,                0.16289,                 1.9028,                 1.2641,                0.83232,             0.00063766,             0.00063766,             0.00063766
                    110,                  2.473,                 1.4443,                0.84136,                 0.8336,                   0.26,                0.31452,                0.15505,                 1.9186,                 1.3656,                0.83228,             0.00063695,             0.00063695,             0.00063695
                    111,                 2.6114,                 1.2823,                0.83091,                0.88756,                   0.21,                0.28461,                0.13715,                 2.0195,                 1.7528,                0.83944,             0.00063625,             0.00063625,             0.00063625
